"tekst","ocena"
"Wprowadzenie monitorów 4k zwiększy wydajność pracowników.","7.7"
"Zakup biurek z regulacją wysokości zmniejszy liczbę zwolnień lekarskich.","7.2"
"Zakup karnetów na siłownię zintegruje pracowników.","5.1"
"Zakup konsoli do gier poprawi morale zespołu.","4.7"
"Zakup szybkiego routera przyspieszy realizację zadań.","8.5"
"Zakup konsoli do gier zachęci do robienia przerw.","3.4"
"Wdrożenie hostingu chmurowego przyspieszy przetwarzanie danych.","9.7"
"Wprowadzenie switcha sieciowego przyspieszy realizację zadań.","7.8"
"Organizacja konsoli do gier poprawi morale zespołu.","4.9"
"Wdrożenie oprogramowania do ocr usprawni obsługę klienta.","10.0"
"Zakup stołu do piłkarzyków poprawi morale zespołu.","3.3"
"Zakup systemu do backupu danych poprawi analizę danych.","9.8"
"Zakup drukarki laserowej obniży koszty energii.","6.6"
"Zakup profesjonalnego ekspresu do kawy zwiększy komfort w biurze.","6.8"
"Zakup platformy e-commerce przyspieszy przetwarzanie danych.","9.4"
"Zakup oprogramowania do ocr zwiększy bezpieczeństwo.","9.0"
"Zakup oczyszczacza powietrza zwiększy komfort w biurze.","6.0"
"Zakup roślin do biura stworzy lepszą atmosferę.","6.9"
"Zakup roślin do biura stworzy lepszą atmosferę.","5.0"
"Zakup szkolenia z cyberbezpieczeństwa wzmocni bezpieczeństwo firmowe.","8.7"
"Zakup nowych laptopów zwiększy wydajność pracowników.","7.8"
"Wdrożenie platformy e-commerce przyspieszy przetwarzanie danych.","9.0"
"Zakup nowych mebli biurowych poprawi wizerunek firmy.","5.8"
"Zakup switcha sieciowego poprawi jakość pracy.","9.0"
"Dostarczenie oczyszczacza powietrza poprawi samopoczucie pracowników.","5.6"
"Instalacja ergonomicznych krzeseł usprawni organizację pracy w biurze.","6.6"
"Zakup wydajnych komputerów poprawi jakość pracy.","8.3"
"Organizacja karnetów na siłownię poprawi morale zespołu.","5.0"
"Zakup drukarki laserowej poprawi komfort pracy.","7.0"
"Zakup firewalla zoptymalizuje procesy biznesowe.","9.5"
"Zakup stołu do piłkarzyków będzie miłym dodatkiem socjalnym.","5.0"
"Zakup profesjonalnego ekspresu do kawy poprawi wizerunek firmy.","5.6"
"Zakup cotygodniowych owoców do biura zachęci do robienia przerw.","4.6"
"Zakup platformy e-commerce poprawi analizę danych.","9.8"
"Zakup nowych mebli biurowych zwiększy komfort w biurze.","5.9"
"Instalacja ergonomicznych krzeseł obniży koszty energii.","6.8"
"Instalacja tabletów graficznych usprawni organizację pracy w biurze.","7.5"
"Zakup cotygodniowych owoców do biura będzie miłym dodatkiem socjalnym.","3.8"
"Zakup szybkiego routera przyspieszy realizację zadań.","7.6"
"Zakup szybkiego routera przyspieszy realizację zadań.","8.8"
"Instalacja biurek z regulacją wysokości zmniejszy liczbę zwolnień lekarskich.","7.4"
"Organizacja konsoli do gier zachęci do robienia przerw.","3.0"
"Zakup platformy e-commerce przyspieszy przetwarzanie danych.","9.1"
"Dostarczenie nowych mebli biurowych stworzy lepszą atmosferę.","5.5"
"Zakup roślin do biura poprawi samopoczucie pracowników.","5.7"
"Organizacja karnetów na siłownię zintegruje pracowników.","4.9"
"Zakup stołu do piłkarzyków zachęci do robienia przerw.","5.0"
"Organizacja stołu do piłkarzyków będzie miłym dodatkiem socjalnym.","3.9"
"Zakup dystrybutora wody zwiększy komfort w biurze.","6.1"
"Zakup profesjonalnego ekspresu do kawy poprawi samopoczucie pracowników.","6.8"
"Wprowadzenie szkolenia z cyberbezpieczeństwa poprawi jakość pracy.","8.9"
"Wprowadzenie switcha sieciowego poprawi jakość pracy.","8.3"
"Zakup oczyszczacza powietrza poprawi wizerunek firmy.","5.5"
"Wdrożenie serwera usprawni obsługę klienta.","9.6"
"Organizacja karnetów na siłownię zintegruje pracowników.","5.1"
"Zakup monitorów 4k przyspieszy realizację zadań.","7.8"
"Zakup tokenów ai zwiększy bezpieczeństwo.","9.3"
"Dostarczenie nowych mebli biurowych poprawi wizerunek firmy.","5.3"
"Instalacja klimatyzacji zadba o zdrowie zespołu.","7.2"
"Zakup tabletów graficznych zmniejszy liczbę zwolnień lekarskich.","6.8"
"Zakup profesjonalnego ekspresu do kawy poprawi wizerunek firmy.","7.0"
"Wprowadzenie monitorów 4k przyspieszy realizację zadań.","8.2"
"Zakup stołu do piłkarzyków będzie miłym dodatkiem socjalnym.","3.7"
"Dostarczenie nowych mebli biurowych zwiększy komfort w biurze.","6.0"
"Wprowadzenie szybkiego routera poprawi jakość pracy.","8.4"
"Wprowadzenie szybkiego routera wzmocni bezpieczeństwo firmowe.","8.4"
"Zakup drukarki laserowej usprawni organizację pracy w biurze.","6.6"
"Wdrożenie tokenów ai zwiększy bezpieczeństwo.","8.8"
"Zakup karnetów na siłownię poprawi morale zespołu.","3.8"
"Organizacja stołu do piłkarzyków zachęci do robienia przerw.","3.8"
"Wprowadzenie switcha sieciowego poprawi jakość pracy.","9.0"
"Instalacja tabletów graficznych zmniejszy liczbę zwolnień lekarskich.","7.5"
"Zakup systemu rezerwacji sal obniży koszty energii.","7.7"
"Wdrożenie systemu crm przyspieszy przetwarzanie danych.","8.7"
"Zakup systemu crm usprawni obsługę klienta.","8.7"
"Zakup tokenów ai zoptymalizuje procesy biznesowe.","8.9"
"Zakup profesjonalnego ekspresu do kawy poprawi wizerunek firmy.","5.6"
"Organizacja biletów do kina będzie miłym dodatkiem socjalnym.","4.9"
"Wdrożenie tokenów ai przyspieszy przetwarzanie danych.","9.8"
"Zakup nowych mebli biurowych stworzy lepszą atmosferę.","5.7"
"Wdrożenie licencji na jira zoptymalizuje procesy biznesowe.","8.9"
"Dostarczenie oczyszczacza powietrza stworzy lepszą atmosferę.","6.8"
"Wprowadzenie oprogramowania antywirusowego poprawi jakość pracy.","7.5"
"Dostarczenie roślin do biura stworzy lepszą atmosferę.","6.2"
"Zakup nowoczesnego oświetlenia led usprawni organizację pracy w biurze.","7.6"
"Zakup switcha sieciowego poprawi jakość pracy.","7.7"
"Zakup roślin do biura stworzy lepszą atmosferę.","6.1"
"Instalacja biurek z regulacją wysokości usprawni organizację pracy w biurze.","7.8"
"Zakup biletów do kina będzie miłym dodatkiem socjalnym.","5.4"
"Dostarczenie profesjonalnego ekspresu do kawy poprawi samopoczucie pracowników.","5.8"
"Wprowadzenie wydajnych komputerów zwiększy wydajność pracowników.","8.4"
"Wdrożenie firewalla zwiększy bezpieczeństwo.","8.7"
"Instalacja nowoczesnego oświetlenia led obniży koszty energii.","6.9"
"Instalacja klimatyzacji zadba o zdrowie zespołu.","7.9"
"Wdrożenie systemu erp przyspieszy przetwarzanie danych.","9.9"
"Organizacja stołu do piłkarzyków zintegruje pracowników.","4.9"
"Zakup tokenów ai usprawni obsługę klienta.","9.8"
"Organizacja karnetów na siłownię zachęci do robienia przerw.","3.1"
"Wprowadzenie szkolenia z cyberbezpieczeństwa przyspieszy realizację zadań.","8.5"
"Zakup monitorów 4k zwiększy wydajność pracowników.","8.6"
"Instalacja tabletów graficznych poprawi komfort pracy.","7.4"
"Organizacja cotygodniowych owoców do biura zachęci do robienia przerw.","3.8"
"Wdrożenie narzędzia do analityki zoptymalizuje procesy biznesowe.","8.8"
"Zakup cotygodniowych owoców do biura zachęci do robienia przerw.","3.9"
"Wprowadzenie oprogramowania antywirusowego wzmocni bezpieczeństwo firmowe.","7.6"
"Zakup platformy e-commerce poprawi analizę danych.","9.9"
"Zakup szybkiego routera zwiększy wydajność pracowników.","8.7"
"Instalacja ergonomicznych krzeseł zadba o zdrowie zespołu.","7.1"
"Zakup systemu rezerwacji sal zmniejszy liczbę zwolnień lekarskich.","7.1"
"Instalacja nowoczesnego oświetlenia led zmniejszy liczbę zwolnień lekarskich.","7.3"
"Zakup nowych laptopów wzmocni bezpieczeństwo firmowe.","8.6"
"Wdrożenie systemu erp przyspieszy przetwarzanie danych.","8.8"
"Instalacja nowoczesnego oświetlenia led obniży koszty energii.","6.6"
"Zakup monitorów 4k przyspieszy realizację zadań.","8.7"
"Zakup biletów do kina będzie miłym dodatkiem socjalnym.","4.2"
"Wdrożenie oprogramowania do ocr poprawi analizę danych.","9.4"
"Zakup systemu erp zoptymalizuje procesy biznesowe.","8.8"
"Zakup monitorów 4k przyspieszy realizację zadań.","8.8"
"Dostarczenie profesjonalnego ekspresu do kawy stworzy lepszą atmosferę.","5.0"
"Organizacja biletów do kina będzie miłym dodatkiem socjalnym.","5.5"
"Dostarczenie oczyszczacza powietrza poprawi wizerunek firmy.","6.1"
"Zakup biletów do kina będzie miłym dodatkiem socjalnym.","4.3"
"Instalacja biurek z regulacją wysokości usprawni organizację pracy w biurze.","8.0"
"Zakup nowych mebli biurowych poprawi samopoczucie pracowników.","6.2"
"Wdrożenie oprogramowania do ocr zoptymalizuje procesy biznesowe.","8.9"
"Zakup systemu erp zoptymalizuje procesy biznesowe.","9.4"
"Zakup biurek z regulacją wysokości poprawi komfort pracy.","7.4"
"Wprowadzenie switcha sieciowego wzmocni bezpieczeństwo firmowe.","8.4"
"Dostarczenie profesjonalnego ekspresu do kawy zwiększy komfort w biurze.","5.6"
"Zakup drukarki laserowej obniży koszty energii.","7.3"
"Zakup szkolenia z cyberbezpieczeństwa poprawi jakość pracy.","8.7"
"Wdrożenie systemu do backupu danych poprawi analizę danych.","9.2"
"Zakup systemu crm przyspieszy przetwarzanie danych.","9.5"
"Instalacja tabletów graficznych zmniejszy liczbę zwolnień lekarskich.","7.4"
"Instalacja tabletów graficznych zadba o zdrowie zespołu.","7.2"
"Instalacja klimatyzacji zmniejszy liczbę zwolnień lekarskich.","6.7"
"Zakup platformy e-commerce usprawni obsługę klienta.","8.9"
"Dostarczenie roślin do biura zwiększy komfort w biurze.","6.4"
"Zakup nowych laptopów wzmocni bezpieczeństwo firmowe.","8.6"
"Zakup nowoczesnego oświetlenia led zadba o zdrowie zespołu.","7.9"
"Dostarczenie dystrybutora wody poprawi samopoczucie pracowników.","5.4"
"Dostarczenie oczyszczacza powietrza stworzy lepszą atmosferę.","5.5"
"Zakup konsoli do gier zintegruje pracowników.","5.0"
"Zakup dystrybutora wody poprawi samopoczucie pracowników.","6.5"
"Dostarczenie oczyszczacza powietrza zwiększy komfort w biurze.","5.2"
"Zakup systemu crm usprawni obsługę klienta.","8.7"
"Zakup nowych laptopów przyspieszy realizację zadań.","8.3"
"Zakup firewalla poprawi analizę danych.","9.9"
"Zakup konsoli do gier będzie miłym dodatkiem socjalnym.","4.2"
"Zakup nowych mebli biurowych zwiększy komfort w biurze.","5.9"
"Zakup nowoczesnego oświetlenia led zadba o zdrowie zespołu.","7.4"
"Zakup drukarki laserowej zadba o zdrowie zespołu.","7.6"
"Organizacja stołu do piłkarzyków będzie miłym dodatkiem socjalnym.","5.1"
"Wdrożenie systemu erp przyspieszy przetwarzanie danych.","10.0"
"Zakup biletów do kina zachęci do robienia przerw.","3.6"
"Zakup roślin do biura zwiększy komfort w biurze.","5.1"
"Zakup stołu do piłkarzyków zintegruje pracowników.","3.6"
"Zakup systemu rezerwacji sal zadba o zdrowie zespołu.","7.1"
"Zakup stołu do piłkarzyków zintegruje pracowników.","4.3"
"Zakup stołu do piłkarzyków zintegruje pracowników.","3.4"
"Organizacja karnetów na siłownię zachęci do robienia przerw.","4.3"
"Zakup roślin do biura poprawi samopoczucie pracowników.","6.2"
"Instalacja drukarki laserowej poprawi komfort pracy.","6.5"
"Zakup nowych laptopów przyspieszy realizację zadań.","8.9"
"Zakup platformy e-commerce usprawni obsługę klienta.","9.8"
"Organizacja cotygodniowych owoców do biura poprawi morale zespołu.","4.4"
"Organizacja stołu do piłkarzyków poprawi morale zespołu.","5.4"
"Zakup nowych mebli biurowych poprawi wizerunek firmy.","6.6"
"Dostarczenie roślin do biura poprawi samopoczucie pracowników.","6.1"
"Zakup biletów do kina zachęci do robienia przerw.","4.8"
"Organizacja stołu do piłkarzyków poprawi morale zespołu.","3.3"
"Dostarczenie nowych mebli biurowych poprawi samopoczucie pracowników.","6.6"
"Zakup systemu rezerwacji sal poprawi komfort pracy.","7.2"
"Wprowadzenie szybkiego routera zwiększy wydajność pracowników.","7.6"
"Dostarczenie dystrybutora wody stworzy lepszą atmosferę.","5.6"
"Organizacja karnetów na siłownię poprawi morale zespołu.","4.0"
"Dostarczenie profesjonalnego ekspresu do kawy stworzy lepszą atmosferę.","5.3"
"Zakup cotygodniowych owoców do biura poprawi morale zespołu.","5.3"
"Dostarczenie oczyszczacza powietrza poprawi samopoczucie pracowników.","5.9"
"Instalacja drukarki laserowej zmniejszy liczbę zwolnień lekarskich.","7.4"
"Wdrożenie hostingu chmurowego przyspieszy przetwarzanie danych.","8.9"
"Dostarczenie profesjonalnego ekspresu do kawy zwiększy komfort w biurze.","6.6"
"Zakup nowych laptopów zwiększy wydajność pracowników.","9.0"
"Organizacja biletów do kina będzie miłym dodatkiem socjalnym.","3.6"
"Zakup karnetów na siłownię zachęci do robienia przerw.","4.3"
"Zakup oczyszczacza powietrza poprawi wizerunek firmy.","5.4"
"Zakup nowych mebli biurowych poprawi wizerunek firmy.","6.4"
"Zakup switcha sieciowego poprawi jakość pracy.","8.2"
"Zakup oczyszczacza powietrza poprawi wizerunek firmy.","6.7"
"Zakup systemu do backupu danych zoptymalizuje procesy biznesowe.","9.7"
"Zakup szybkiego routera zwiększy wydajność pracowników.","8.2"
"Wdrożenie systemu erp usprawni obsługę klienta.","10.0"
"Zakup dystrybutora wody poprawi wizerunek firmy.","6.6"
"Zakup oprogramowania antywirusowego wzmocni bezpieczeństwo firmowe.","8.8"
"Dostarczenie profesjonalnego ekspresu do kawy stworzy lepszą atmosferę.","6.6"
"Zakup konsoli do gier zintegruje pracowników.","4.2"
"Zakup systemu rezerwacji sal zadba o zdrowie zespołu.","6.6"
"Wdrożenie oprogramowania do ocr poprawi analizę danych.","8.6"
"Instalacja tabletów graficznych usprawni organizację pracy w biurze.","6.9"
"Dostarczenie profesjonalnego ekspresu do kawy poprawi samopoczucie pracowników.","6.0"
"Wprowadzenie switcha sieciowego zwiększy wydajność pracowników.","7.5"
"Zakup tabletów graficznych zadba o zdrowie zespołu.","7.9"
"Organizacja karnetów na siłownię poprawi morale zespołu.","4.8"
"Organizacja stołu do piłkarzyków poprawi morale zespołu.","5.0"
"Zakup biurek z regulacją wysokości zmniejszy liczbę zwolnień lekarskich.","7.2"
"Zakup biurek z regulacją wysokości obniży koszty energii.","7.0"
"Dostarczenie profesjonalnego ekspresu do kawy poprawi wizerunek firmy.","5.4"
"Wprowadzenie nowych laptopów poprawi jakość pracy.","8.5"
"Organizacja stołu do piłkarzyków będzie miłym dodatkiem socjalnym.","5.5"
"Zakup systemu crm zoptymalizuje procesy biznesowe.","8.5"
"Wprowadzenie szybkiego routera przyspieszy realizację zadań.","7.8"
"Organizacja cotygodniowych owoców do biura będzie miłym dodatkiem socjalnym.","5.0"
"Organizacja karnetów na siłownię będzie miłym dodatkiem socjalnym.","4.4"
"Zakup karnetów na siłownię zachęci do robienia przerw.","3.8"
"Zakup switcha sieciowego zwiększy wydajność pracowników.","8.6"
"Zakup profesjonalnego ekspresu do kawy poprawi wizerunek firmy.","5.7"
"Wprowadzenie szybkiego routera zwiększy wydajność pracowników.","8.6"
"Zakup wydajnych komputerów wzmocni bezpieczeństwo firmowe.","8.6"
"Zakup systemu crm poprawi analizę danych.","9.7"
"Zakup nowych mebli biurowych poprawi samopoczucie pracowników.","6.3"
"Zakup szkolenia z cyberbezpieczeństwa wzmocni bezpieczeństwo firmowe.","8.3"
"Zakup roślin do biura stworzy lepszą atmosferę.","6.6"
"Wdrożenie hostingu chmurowego zwiększy bezpieczeństwo.","9.6"
"Organizacja konsoli do gier będzie miłym dodatkiem socjalnym.","3.5"
"Wprowadzenie monitorów 4k zwiększy wydajność pracowników.","8.1"
"Zakup profesjonalnego ekspresu do kawy zwiększy komfort w biurze.","5.4"
"Wdrożenie serwera usprawni obsługę klienta.","9.5"
"Zakup oczyszczacza powietrza stworzy lepszą atmosferę.","6.6"
"Wprowadzenie szkolenia z cyberbezpieczeństwa przyspieszy realizację zadań.","7.6"
"Organizacja biletów do kina zintegruje pracowników.","3.2"
"Zakup cotygodniowych owoców do biura zachęci do robienia przerw.","3.8"
"Wprowadzenie oprogramowania antywirusowego zwiększy wydajność pracowników.","7.7"
"Instalacja ergonomicznych krzeseł zmniejszy liczbę zwolnień lekarskich.","7.2"
"Dostarczenie dystrybutora wody poprawi samopoczucie pracowników.","6.3"
"Zakup nowych mebli biurowych poprawi wizerunek firmy.","6.0"
"Wdrożenie systemu erp poprawi analizę danych.","8.8"
"Wprowadzenie nowych laptopów zwiększy wydajność pracowników.","7.7"
"Zakup konsoli do gier będzie miłym dodatkiem socjalnym.","4.9"
"Zakup oczyszczacza powietrza stworzy lepszą atmosferę.","5.3"
"Zakup nowych laptopów zwiększy wydajność pracowników.","7.8"
"Zakup biurek z regulacją wysokości obniży koszty energii.","7.9"
"Dostarczenie profesjonalnego ekspresu do kawy poprawi samopoczucie pracowników.","5.3"
"Zakup licencji na jira usprawni obsługę klienta.","8.8"
"Instalacja klimatyzacji usprawni organizację pracy w biurze.","6.6"
"Zakup licencji na jira poprawi analizę danych.","9.3"
"Zakup dystrybutora wody stworzy lepszą atmosferę.","6.6"
"Wdrożenie licencji na jira przyspieszy przetwarzanie danych.","9.2"
"Organizacja cotygodniowych owoców do biura będzie miłym dodatkiem socjalnym.","3.5"
"Dostarczenie nowych mebli biurowych stworzy lepszą atmosferę.","5.5"
"Zakup profesjonalnego ekspresu do kawy poprawi wizerunek firmy.","5.0"
"Wprowadzenie oprogramowania antywirusowego wzmocni bezpieczeństwo firmowe.","7.9"
"Instalacja drukarki laserowej poprawi komfort pracy.","6.7"
"Instalacja drukarki laserowej poprawi komfort pracy.","6.5"
"Zakup switcha sieciowego zwiększy wydajność pracowników.","8.4"
"Wdrożenie tokenów ai usprawni obsługę klienta.","8.6"
"Wdrożenie licencji na jira zoptymalizuje procesy biznesowe.","10.0"
"Wprowadzenie szybkiego routera zwiększy wydajność pracowników.","8.3"
"Dostarczenie oczyszczacza powietrza poprawi wizerunek firmy.","5.8"
"Wprowadzenie szkolenia z cyberbezpieczeństwa poprawi jakość pracy.","8.3"
